curr_meeting_date,curr_venue_name,curr_race_number,curr_tab_number,horse_name,meeting_date,venue,rail_position,race_number,race_name,condition_age,condition_jockey,condition_sex,condition_class,condition_weight,condition_group,race_record,starters,margin_1,margin_2,race_duration,sectional_distance,sectional_time,barrier,jockey,abnormal_finish,position_finish,position_1200m,position_800m,position_400m,position_settling,blinkers_on,favourite,dead_heat,margin,weight_carried,weight_adjustment,stewards_report,pg1_barrier,pg1_position,pg1_dead_heat,pg1_horse,pg1_jockey,pg1_country,pg1_weight,pg1_margin,pg2_barrier,pg2_position,pg2_dead_heat,pg2_horse,pg2_jockey,pg2_country,pg2_weight,pg2_margin,pg3_barrier,pg3_position,pg3_dead_heat,pg3_horse,pg3_jockey,pg3_country,pg3_weight,pg3_margin,dslr
21/05/2016,Rosehill,1,4,Archives,29/04/2016,Warwick Farm,Timing - Manual : Rail - Normal,11,Barrier Trial,2yo,,Colts & Geldings,Barrier Trial Open,Catch Weight,,,8,1.3,Nk,47.6,,,4,Tim Clark,,4,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,4,Archives,7/05/2016,Rosehill,+3m Entire Circuit,1,Tab.Com.Au Hcp,2yo,Apprentices Can Claim,,Open,Handicap,,,6,0.5,1.5,64.43,600,33.76,1,A Hyeronimus,,3,,4,5,3,FALSE,FALSE,FALSE,2,56.5,,,3,1,FALSE,Legerity,B Avdulla,AUS,56.5,0.5,4,2,FALSE,Baltic Whisper,T Angland,AUS,56.5,0.5,6,4,FALSE,Aviator,M Rodd,AUS,58,3.1,
21/05/2016,Rosehill,1,5,Omiya,21/09/2015,Randwick,,8,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,8,1-Feb,3,49.71,600,34.4,6,B Avdulla,,8,,,,,FALSE,FALSE,FALSE,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,29/09/2015,Rosehill,,5,Barrier Trial,,,,Open Barrier Trial,Catch Weight,,,5,Ns,Sh Nk,53.9,,,1,Brodie Loy,,3,,,,,FALSE,FALSE,FALSE,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,30/11/2015,Randwick,,13,Barrier Trial,,,,Barrier Trial Maiden,Catch Weight,,,6,Nk,Lg Nk,42.8,,,2,T Angland,,2,,,,,FALSE,FALSE,FALSE,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,8/12/2015,Rosehill,,7,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,7,4,1.5,53.2,,,4,T Angland,,4,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,15/04/2016,Warwick Farm,Timing - Manual : Rail - Normal,10,Barrier Trial,2yo,,Colts & Geldings,Barrier Trial Open,Catch Weight,,,7,Lg hd,1.8,48,,,1,T Angland,,1,,,,,FALSE,FALSE,FALSE,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,26/04/2016,Rosehill,Timing - Manual : Rail - Normal,10,Barrier Trial,2yo,,Colts & Geldings,Open Barrier Trial,Catch Weight,,,7,3,1-Feb,54.8,,,1,T Angland,,1,,,,,FALSE,FALSE,FALSE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,5,Omiya,4/05/2016,Warwick Farm,+5m 1000 To W/P + 3m Remainder,1,All Too Hard Mdn Hcp,2yo,Apprentices Can Claim,,Maiden,Handicap,,,8,2.5,0.8,64.02,600,34.71,4,A Hyeronimus,,2,,,5,4,FALSE,FALSE,FALSE,2.5,58,,,1,1,FALSE,Faith's Encore,K McEvoy,AUS,56,2.5,3,3,FALSE,Perfect Rhyme,T Angland,AUS,56,3.3,7,4,FALSE,Tim's Principal,C Reith,AUS,58,3.8,
21/05/2016,Rosehill,1,6,Virgilio,9/12/2015,Kembla Grange,,1,Barrier Trial,,,,Open Barrier Trial,Catch Weight,,,4,6,1.3,47.32,600,33.52,3,J Penza,,3,,,,,FALSE,FALSE,FALSE,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
