meeting_date,meeting_is_night,meeting_is_trial,meeting_region,venue_name,venue_state,venue_country,club_name,race_number,race_name,race_start_time,race_division,race_distance,race_distance_is_approx,race_min_hcp_weight,track_name,track_code_3,track_code_5,rail_position,condition_jockey,condition_sex,condition_age,condition_class,condition_weight,condition_group,prize_1st,prize_2nd,prize_3rd,race_record,race_starters,race_margin_1,race_margin_2,race_duration,race_sectional_distance,race_sectional_time,race_going,horse_name,horse_foaled_on,horse_country,horse_sex,horse_colour,horse_location,sire_name,sire_country,dam_name,dam_country,sire_of_dam_name,sire_of_dam_country,jockey_name,trainer_name,owner_name,tab_no,earnings_to_date,emergency,gear_changes,barrier_no,abnormal_finish,position_finish,position_settling,position_1200m,position_800m,position_400m,blinkers_on,favourite,dead_heat,margin,margin_official,weight_carried,weight_adjustment,stewards_report,scratched,apn_win_opening,apn_win_mid,apn_win_starting,tab_nsw_win_final,tab_nsw_plc_final
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,In The Loop,31/08/2012,AUS,G,ch,Albany,Encosta De Lago,AUS,Fashion Street,AUS,Danewin,AUS,P Hall,S J Wolfe,"S J Wolfe, C Galluccio, P Smith, Mrs J E Smith, Gold Front Thoroughbred Breeding & Racing Syndicate(Mgr: A J Olive), S C Litton, Thunderstruck Racing Syndicate(Mgr: R G Quenby), Mrs R J French, M W French",5,20855,FALSE,,11,,1,11,,6,4,TRUE,FALSE,FALSE,0.1,,58,,,FALSE,,,4.4,5.3,1.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Little Sincero,1/08/2011,AUS,G,b,South Hedland,Vital Equine,IRE,Truly Sincere,AUS,Oratorio,AUS,J Whiting,Natalie Burke,G F Durrant,6,48050,FALSE,,6,,2,7,,8,8,TRUE,FALSE,FALSE,0.1,NS,57.5,,,FALSE,,,21,18.5,4.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Fairly Hot,24/10/2011,AUS,M,b,Albany,Trade Fair,GB,Mozeka,AUS,Bletchley Park,IRE,Mitchell Pateman,D Panizza,"B J Panizza, Miss E J Panizza, Ms M P Hunter, T M Hunter",2,39700,FALSE,,7,,3,6,,7,6,TRUE,FALSE,FALSE,0.6,0.5,59,,,FALSE,,,3.5,4.4,1.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Hey Listen,16/10/2012,AUS,M,br,Albany,Demerit,AUS,All Class,AUS,Euclase,AUS,S McGruddy,S J Wolfe,"S J Wolfe, G T Evans, Dr J M Vujcich",3,33450,FALSE,,9,,4,3,,3,5,FALSE,TRUE,FALSE,0.7,,58.5,,,FALSE,,,3.3,2.9,1.6
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Priceless Rock,28/10/2011,AUS,G,b,Albany,Rock Of Gibraltar,IRE,Born Priceless,AUS,Pricelessly,USA,D Staeck,P B Hunter,"M J Nelson, R S Scragg, T Barrie",8,23655,FALSE,,2,,5,2,,1,1,FALSE,FALSE,FALSE,0.8,,56,,,FALSE,,,5,5.8,1.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Toru Waimarie,28/11/2012,AUS,G,br,Albany,Danehill Express,AUS,Datina,AUS,Le Grand Seigneur,CAN,M Autier,G S Hughes,P J Hughes,7,12550,FALSE,,8,,6,8,,9,9,FALSE,FALSE,FALSE,2.5,,56.5,,,FALSE,,,31,43.4,6.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Piccolo Joe,8/09/2010,AUS,G,b/br,Albany,Oratorio,AUS,Blondelle,AUS,Land Speed Record,AUS,C Haddon,Rebecca Wallrodt,"B C Wallrodt, Mrs J F Lucas, Mrs K M Belfield, B J Lucas, Miss M L Middleton",12,49470,FALSE,,4,,7,5,,5,7,TRUE,FALSE,FALSE,3.5,,54,,,FALSE,,,17,16.6,3.9
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Censory Rule,15/10/2012,AUS,G,ch,Albany,Universal Ruler,AUS,Censorious,AUS,Viscount,AUS,M R Forder,D L Mcauliffe,"Impressive Racing Pty Ltd(Mgr: K S Berry), D O'Halloran, R Hindle, B M Green, Mrs J Brierley, R Eiffler, Mrs M Eiffler, Mrs E G Eiffler, G L Eiffler, Ms K J Reid, M Coombe, S Turner, E B Hunter, R Hunter, D M Green, G Regan, D R Myors, K P Bull, R S Humphries, T J House",9,13345,FALSE,"Nose Band Off, Tongue Tie On, Nasal Strip On",5,,8,4,,4,2,TRUE,FALSE,FALSE,4.5,,55,,,FALSE,,,41,61,7.5
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Foxy Lad,10/10/2011,AUS,G,ch,Capel,Kaloorup Lad,AUS,Silver Vixen,AUS,Lomond Bay,NZ,William White,Andrew De_Campo,R J Plunkett,1,25450,FALSE,,3,,9,10,,10,10,TRUE,FALSE,FALSE,5,,60,,,FALSE,,,13,17.4,3.8
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Key To The World,17/09/2012,AUS,G,b/br,Albany,Key Business,AUS,Movie World,AUS,Arazi,USA,Mollie Clark,G S Hughes,"A L Smith, Mrs S J Smith, L C Ball, Mrs B M Smith, B P Vanzetti, Mrs T A Borgward, S M Thomas, Mrs A J Lynch, S E Reynolds, C D Salt",10,13100,FALSE,,1,,10,9,,11,11,FALSE,FALSE,FALSE,5.2,,53,-1.5,,FALSE,,,26,52.5,12.3
